param-n,constr-final-goal-make-final-goal-real,constr-final-goal-make-final-goal-sys,constr-final-goal-make-final-goal-user,eta-cast-pf-real,eta-cast-pf-sys,eta-cast-pf-user,eta-constr-pf-real,eta-constr-pf-sys,eta-constr-pf-user,eta-make-let-ins-real,eta-make-let-ins-sys,eta-make-let-ins-user,eta-make-pf-real,eta-make-pf-sys,eta-make-pf-user,eta-refine-real,eta-refine-sys,eta-refine-user,eta-refine-and-close-real,eta-refine-and-close-sys,eta-refine-and-close-user,everything-real,everything-sys,everything-user,make-Build-T-real,make-Build-T-sys,make-Build-T-user,make-T-real,make-T-sys,make-T-user,make-T-eta-real,make-T-eta-sys,make-T-eta-user,make-T-projs-real,make-T-projs-sys,make-T-projs-user,make-T-rect-real,make-T-rect-sys,make-T-rect-user,make-Ts-real,make-Ts-sys,make-Ts-user,make-f-ty-real,make-f-ty-sys,make-f-ty-user,making-real,making-sys,making-user
0,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.011,0.,0.011,0.,0.,0.,0.,0.,0.,0.004,0.,0.004,0.,0.,0.,0.002,0.,0.002,0.002,0.,0.002,0.,0.,0.,0.01,0.,0.01
1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.003,0.003,0.,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.017,0.008,0.009,0.,0.,0.,0.,0.,0.,0.006,0.003,0.003,0.001,0.,0.001,0.002,0.,0.001,0.004,0.004,0.,0.,0.,0.,0.017,0.008,0.008
2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.055,0.,0.055,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.073,0.,0.073,0.001,0.,0.001,0.,0.,0.,0.059,0.,0.059,0.002,0.,0.002,0.001,0.,0.001,0.007,0.,0.007,0.,0.,0.,0.072,0.,0.072
3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.005,0.,0.005,0.002,0.002,0.,0.,0.,0.,0.,0.,0.,0.031,0.004,0.026,0.001,0.,0.001,0.,0.,0.,0.011,0.003,0.007,0.003,0.,0.003,0.003,0.,0.003,0.01,0.,0.009,0.001,0.,0.001,0.03,0.004,0.025
4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.004,0.,0.004,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.083,0.004,0.079,0.,0.,0.,0.,0.,0.,0.008,0.,0.008,0.002,0.,0.002,0.002,0.,0.002,0.067,0.003,0.064,0.001,0.,0.001,0.083,0.004,0.079
5,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.005,0.,0.005,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.029,0.,0.029,0.,0.,0.,0.,0.,0.,0.01,0.,0.01,0.003,0.,0.003,0.002,0.,0.002,0.01,0.,0.01,0.001,0.,0.001,0.028,0.,0.028
6,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.006,0.,0.006,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.039,0.,0.039,0.001,0.,0.001,0.,0.,0.,0.011,0.,0.011,0.008,0.,0.008,0.002,0.,0.002,0.013,0.,0.013,0.001,0.,0.001,0.038,0.,0.038
7,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.04,0.,0.04,0.001,0.,0.001,0.,0.,0.,0.013,0.,0.013,0.005,0.,0.005,0.003,0.,0.003,0.015,0.,0.015,0.001,0.,0.001,0.039,0.,0.039
8,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.008,0.,0.008,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.053,0.,0.053,0.001,0.,0.001,0.,0.,0.,0.015,0.,0.015,0.005,0.,0.005,0.003,0.,0.003,0.026,0.,0.025,0.001,0.,0.001,0.052,0.,0.052
9,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.016,0.,0.016,0.003,0.,0.003,0.,0.,0.,0.,0.,0.,0.057,0.,0.057,0.001,0.,0.001,0.,0.,0.,0.023,0.,0.023,0.006,0.,0.006,0.003,0.,0.003,0.02,0.,0.02,0.001,0.,0.001,0.056,0.,0.056
